Handle,Title,Body (HTML),Do not UPLOAD,Plating,Tags,Stone,Size,Variant Price,Category,Vendor,barcode,,,,,,,,
E-S2714925 Sterling Silver,E-S2714,925 Sterling Silver wide 12mm 14k gold                 1 micron                  ,925 Sterling Silver,14k gold                 1 micron                  ,"925 Sterling Silver, Nov3Upload",opal                    zircon,wide 12mm,28,Earrings,Gemnel,20267709,,,,,,,,
E-H3096925 Sterling Silver,E-H3096,"925 Sterling Silver Inner Dia:8mm,Band:1.2mm 14k gold                 1 micron                  ",925 Sterling Silver,14k gold                 1 micron                  ,"925 Sterling Silver, Nov3Upload",opal,"Inner Dia:8mm,Band:1.2mm",32,Earrings,Gemnel,20300477,,,,,,,,
E-H1150925 Sterling Silver,E-H1150,925 Sterling Silver  Diameter 10mm 14k gold                 1 micron                  ,925 Sterling Silver,14k gold                 1 micron                  ,"925 Sterling Silver, Nov3Upload",opal                     zircon, Diameter 10mm,34,Earrings,Gemnel,20333245,,,,,,,,
E-S4220925 Sterling Silver,E-S4220,925 Sterling Silver 4x2mm opal / 2mm zircon  14k gold                 1 micron                  ,925 Sterling Silver,14k gold                 1 micron                  ,"925 Sterling Silver, Nov3Upload",opal                    zircon,4x2mm opal / 2mm zircon ,24,Earrings,Gemnel,20366013,,,,,,,,
R-F1072925 Sterling Silver,R-F1072,925 Sterling Silver  4mm Opal                          size 6                               14k gold                 1 micron                  ,925 Sterling Silver,14k gold                 1 micron                  ,"925 Sterling Silver, Nov3Upload",opal                     zircon, 4mm Opal                          size 6                              ,26,Ring,Gemnel,20398781,,,,,,,,
N-E2722925 Sterling Silver,N-E2722,925 Sterling Silver 12mm  14k gold                 1 micron                  ,925 Sterling Silver,14k gold                 1 micron                  ,"925 Sterling Silver, Nov3Upload",opal                    zircon,12mm ,42,Ring,Gemnel,20431549,,,,,,,,
E-D4122925 Sterling Silver,E-D4122,925 Sterling Silver  4x2mm opal/  2mm zircon/ 10mm inner diameter 14k gold                 1 micron                  ,925 Sterling Silver,14k gold                 1 micron                  ,"925 Sterling Silver, Nov3Upload",opal                     zircon, 4x2mm opal/  2mm zircon/ 10mm inner diameter,29,Earrings,Gemnel,20464317,,,,,,,,
N-E0079925 Sterling Silver,N-E0079,925 Sterling Silver 2 cm long  14k gold                 1 micron                  ,925 Sterling Silver,14k gold                 1 micron                  ,"925 Sterling Silver, Nov3Upload",opal                    zircon,2 cm long ,42,,Gemnel,20562621,,,,,,,,
B-R5065925 Sterling Silver,B-R5065,925 Sterling Silver  Lock Measurements: 1.3 x 0.8 cm                                      Length: 16cm+4cm 14k gold                 1 micron                  ,925 Sterling Silver,14k gold                 1 micron                  ,"925 Sterling Silver, Nov3Upload",White Zircon, Lock Measurements: 1.3 x 0.8 cm                                      Length: 16cm+4cm,39,Bracelet,Gemnel,20595389,,,,,,,,
N-E5164925 Sterling Silver,N-E5164,925 Sterling Silver Chain Length: 40+5 cm 14k gold                 1 micron                  ,925 Sterling Silver,14k gold                 1 micron                  ,"925 Sterling Silver, Nov3Upload",/,Chain Length: 40+5 cm,36,Necklace,Gemnel,20726461,,,,,,,,
N-E2195925 Sterling Silver,N-E2195,925 Sterling Silver Length:40cm+5cm 14k gold                 1 micron                  ,925 Sterling Silver,14k gold                 1 micron                  ,"925 Sterling Silver, Nov3Upload",opal,Length:40cm+5cm,36,Necklace,Gemnel,20857533,,,,,,,,
R-F3097925 Sterling Silver,R-F3097,925 Sterling Silver / 14k gold                 1 micron                  ,925 Sterling Silver,14k gold                 1 micron                  ,"925 Sterling Silver, Nov3Upload",/,/,26,Ring,Gemnel,20890301,,,,,,,,
N-E1134925 Sterling Silver,N-E1134,925 Sterling Silver 5mm Opal                           Flat Chain: 40+5cm 14k gold                 1 micron                  ,925 Sterling Silver,14k gold                 1 micron                  ,"925 Sterling Silver, Nov3Upload",opal                    zircon,5mm Opal                           Flat Chain: 40+5cm,39,Earrings,Gemnel,20923069,,,,,,,,
