Handle,Title,Body (HTML),Do not UPLOAD,Plating,Tags,Stone,Size,Variant Price,Category,Vendor
E-D4087925 Sterling Silver,E-D4087,"925 Sterling Silver 25mm chain drop/ stud：7.8*3.8mm 14k gold 1 micron",925 Sterling Silver,14k gold 1 micron,"925 Sterling Silver, Nov3Upload",opal zircon,"25mm chain drop/ stud：7.8*3.8mm",32,Earrings,Gemnel
E-S1013925 Sterling Silver,E-S1013,925 Sterling Silver Opal 2.5mm 14k gold 1 micron,925 Sterling Silver,14k gold 1 micron,"925 Sterling Silver, Nov3Upload",opal,Opal 2.5mm,34,Earrings,Gemnel
B-R5115925 Sterling Silver,B-R5115,"925 Sterling Silver * Flower diameter: approximately 5.2mm Length:16cm+4cm 14k gold 1 micron",925 Sterling Silver,14k gold 1 micron,"925 Sterling Silver, Nov3Upload",Zircon (#05 Golden yellow) (#21 White),"* Flower diameter: approximately 5.2mm Length:16cm+4cm",35,Bracelet,Gemnel
E-H1170925 Sterling Silver,E-H1170,925 Sterling Silver Inner Diameter 6.5mm 14k gold 1 micron,925 Sterling Silver,14k gold 1 micron,"925 Sterling Silver, Nov3Upload",opal zircon,Inner Diameter 6.5mm,35,Ring,Gemnel
E-S1032925 Sterling Silver,E-S1032,925 Sterling Silver 3mm White Opal and 4.2mm Width 14k gold 1 micron,925 Sterling Silver,14k gold 1 micron,"925 Sterling Silver, Nov3Upload",opal zircon,3mm White Opal and 4.2mm Width,24,Earrings,Gemnel
N-E3257925 Sterling Silver,N-E3257,925 Sterling Silver Opal:3mm Chain: 40+5cm 14k gold 1 micron,925 Sterling Silver,14k gold 1 micron,"925 Sterling Silver, Nov3Upload",opal,Opal:3mm Chain: 40+5cm,42,Necklace,Gemnel
E-S1055925 Sterling Silver,E-S1055,925 Sterling Silver / 14k gold 1 micron,925 Sterling Silver,14k gold 1 micron,"925 Sterling Silver, Nov3Upload",opal,/,24,Earrings,Gemnel
R-F1069925 Sterling Silver,R-F1069,"925 Sterling Silver 2mm Opal size5/6/7 15pcs for each size 14k gold 1 micron",925 Sterling Silver,14k gold 1 micron,"925 Sterling Silver, Nov3Upload",opal zircon,"2mm Opal size5/6/7 15pcs for each size",28,Ring,Gemnel
"E-S1346/E-S1345925 Sterling Silver","E-S1346/E-S1345",925 Sterling Silver Star 9.5mm 14k gold 1 micron,925 Sterling Silver,14k gold 1 micron,"925 Sterling Silver, Nov3Upload",opal zircon,Star 9.5mm,28,Earrings,Gemnel
N-C1045925 Sterling Silver,N-C1045,925 Sterling Silver chain width: 3.2mm necklace length: 40cm+5cm 14k gold 1 micron,925 Sterling Silver,14k gold 1 micron,"925 Sterling Silver, Nov3Upload",/,chain width: 3.2mm necklace length: 40cm+5cm,42,Necklace,Gemnel
N-E3198925 Sterling Silver,N-E3198,"925 Sterling Silver Pendant:9.5mm, stone dia:1.5mm Chain Length: 40+5 cm 14k gold 1 micron",925 Sterling Silver,14k gold 1 micron,"925 Sterling Silver, Nov3Upload",White Zircon,"Pendant:9.5mm, stone dia:1.5mm Chain Length: 40+5 cm",36,Bracelet,Gemnel
R-F1314925 Sterling Silver,R-F1314,925 Sterling Silver Band 1.2mm size5/6/7 15pcs for each size 14k gold 1 micron,925 Sterling Silver,14k gold 1 micron,"925 Sterling Silver, Nov3Upload",opal zircon,Band 1.2mm size5/6/7 15pcs for each size,28,Ring,Gemnel
B-R5096925 Sterling Silver,B-R5096,925 Sterling Silver chain width: 3.2mm bracelet length:16cm+4cm 14k gold 1 micron,925 Sterling Silver,14k gold 1 micron,"925 Sterling Silver, Nov3Upload",White Zircon,chain width: 3.2mm bracelet length:16cm+4cm,38,Bracelet,Gemnel
N-E0096925 Sterling Silver,N-E0096,925 Sterling Silver Pendant 13mm Length: 40cm+5cm 14k gold 1 micron,925 Sterling Silver,14k gold 1 micron,"925 Sterling Silver, Nov3Upload",opal,Pendant 13mm Length: 40cm+5cm,39,Necklace,Gemnel
N-E2734925 Sterling Silver,N-E2734,"925 Sterling Silver 9mm*20mm Chain Length: 40+5 cm 14k gold 1 micron",925 Sterling Silver,14k gold 1 micron,"925 Sterling Silver, Nov3Upload",White Zircon,"9mm*20mm Chain Length: 40+5 cm",49,Necklace,Gemnel
E-H3214925 Sterling Silver,E-H3214,925 Sterling Silver Hoop dia:10mm 14k gold 1 micron,925 Sterling Silver,14k gold 1 micron,"925 Sterling Silver, Nov3Upload",opal,Hoop dia:10mm,36,Ring,Gemnel
E-S1966925 Sterling Silver,E-S1966,925 Sterling Silver Inner Diameter 9mm and Butterfly 11mm 14k gold 1 micron,925 Sterling Silver,14k gold 1 micron,"925 Sterling Silver, Nov3Upload",White Zircon,Inner Diameter 9mm and Butterfly 11mm,29,Earrings,Gemnel
E-S1114925 Sterling Silver,E-S1114,925 Sterling Silver / 14k gold 1 micron,925 Sterling Silver,14k gold 1 micron,"925 Sterling Silver, Nov3Upload",opal,/,28,Earrings,Gemnel
E-H1067925 Sterling Silver,E-H1067,925 Sterling Silver Outside diameter 10.5mm 14k gold 1 micron,925 Sterling Silver,14k gold 1 micron,"925 Sterling Silver, Nov3Upload",opal zircon,Outside diameter 10.5mm,48,Earrings,Gemnel
B-R5089925 Sterling Silver,B-R5089,"925 Sterling Silver Measurements: 12.7 x 6.5 mm Length: 16cm+4cm 14k gold 1 micron",925 Sterling Silver,14k gold 1 micron,"925 Sterling Silver, Nov3Upload",White Zircon,"Measurements: 12.7 x 6.5 mm Length: 16cm+4cm",34,Bracelet,Gemnel
N-E5177925 Sterling Silver,N-E5177,925 Sterling Silver Pendant：10mm x 10mm Chain Length: 40+5 cm 14k gold 1 micron,925 Sterling Silver,14k gold 1 micron,"925 Sterling Silver, Nov3Upload",White Zircon,Pendant：10mm x 10mm Chain Length: 40+5 cm,38,Necklace,Gemnel
E-S2611925 Sterling Silver,E-S2611,925 Sterling Silver 12mm high 4.8mm wide stone 3mm * 5mm 14k gold 1 micron,925 Sterling Silver,14k gold 1 micron,"925 Sterling Silver, Nov3Upload",zircon,12mm high 4.8mm wide stone 3mm * 5mm,31,Earrings,Gemnel
"N-E1553925 Sterling Silver","N-E1553",925 Sterling Silver Padlock 16*9mm Chain Length: 40+5 cm 14k gold 1 micron,925 Sterling Silver,14k gold 1 micron,"925 Sterling Silver, Nov3Upload",White Zircon,Padlock 16*9mm Chain Length: 40+5 cm,38,Necklace,Gemnel
B-R0054925 Sterling Silver,B-R0054,925 Sterling Silver Pendant diameter: 12 mm Length: 16cm+4cm 14k gold 1 micron,925 Sterling Silver,14k gold 1 micron,"925 Sterling Silver, Nov3Upload",/,Pendant diameter: 12 mm Length: 16cm+4cm,42,Bracelet,Gemnel
E-H1073925 Sterling Silver,E-H1073,925 Sterling Silver 2mm Opal and Inner Diameter 8mm 14k gold 1 micron,925 Sterling Silver,14k gold 1 micron,"925 Sterling Silver, Nov3Upload",opal,2mm Opal and Inner Diameter 8mm,49,Earrings,Gemnel
N-E4191925 Sterling Silver,N-E4191,"925 Sterling Silver Opal 2mm / Zircon 1.3mm &1.5mm Chain: 40+5cm 14k gold 1 micron",925 Sterling Silver,14k gold 1 micron,"925 Sterling Silver, Nov3Upload",opal zircon,"Opal 2mm / Zircon 1.3mm &1.5mm Chain: 40+5cm",38,Necklace,Gemnel
E-S0194-1925 Sterling Silver,E-S0194-1,925 Sterling Silver 3/8 in diameter 14k gold 1 micron,925 Sterling Silver,14k gold 1 micron,"925 Sterling Silver, Nov3Upload",opal,3/8 in diameter,24,Earrings,Gemnel
R-F1099925 Sterling Silver,R-F1099,"925 Sterling Silver Band 1.4mm size5/6/7 15pcs for each size 14k gold 1 micron",925 Sterling Silver,14k gold 1 micron,"925 Sterling Silver, Nov3Upload",opal zircon,"Band 1.4mm size5/6/7 15pcs for each size",28,Ring,Gemnel
